Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Ground,Start Date,temp,humidity,windspeed,conditions,format,opposition
AU Rashid,10,0,45,1,4.5,45,60,Centurion,9 Feb 2016,81.7,72.5,13.9,"Rain, Partially cloudy",ODI,South Africa
AU Rashid,5.2,0,38,2,7.12,19,16,Johannesburg,12 Feb 2016,76.4,43.2,10.2,Rain,ODI,South Africa
AU Rashid,10,0,59,1,5.9,59,60,Cape Town,14 Feb 2016,68.2,68.3,16.1,"Rain, Partially cloudy",ODI,South Africa
AU Rashid,4,0,24,1,6,24,24,Cape Town,19 Feb 2016,64.9,81.1,20.8,"Rain, Partially cloudy",T20I,South Africa
AU Rashid,4,0,30,1,7.5,30,24,Johannesburg,21 Feb 2016,76.1,54.9,13.4,"Rain, Partially cloudy",T20I,South Africa
AU Rashid,2,0,20,1,10,20,12,Wankhede,16 Mar 2016,N/A,N/A,N/A,N/A,T20I,West Indies
AU Rashid,4,0,35,1,8.75,35,24,Wankhede,18 Mar 2016,N/A,N/A,N/A,N/A,T20I,South Africa
AU Rashid,3,0,18,2,6,9,9,Delhi,23 Mar 2016,75.4,45,14.7,Clear,T20I,Afghanistan
AU Rashid,2,0,31,0,15.5,-,-,Delhi,26 Mar 2016,76,60.5,10,Partially cloudy,T20I,Sri Lanka
AU Rashid,4,0,33,0,8.25,-,-,Delhi,30 Mar 2016,81.5,44.9,9.6,Partially cloudy,T20I,New Zealand
AU Rashid,4,0,23,1,5.75,23,24,Eden Gardens,3 Apr 2016,88.4,72.8,10.3,Partially cloudy,T20I,West Indies
AU Rashid,10,0,36,0,3.6,-,-,Nottingham,21 Jun 2016,61.1,70.3,10.5,Partially cloudy,ODI,Sri Lanka
AU Rashid,10,0,34,2,3.4,17,30,Birmingham,24 Jun 2016,60.5,69.8,11.2,"Rain, Partially cloudy",ODI,Sri Lanka
AU Rashid,10,0,60,0,6,-,-,Bristol,26 Jun 2016,56.5,89.8,16.3,"Rain, Partially cloudy",ODI,Sri Lanka
AU Rashid,9,0,57,2,6.33,28.5,27,The Oval,29 Jun 2016,56.9,82.9,12.2,"Rain, Partially cloudy",ODI,Sri Lanka
AU Rashid,10,0,41,2,4.1,20.5,30,Cardiff,2 Jul 2016,56.9,77,20.9,"Rain, Partially cloudy",ODI,Sri Lanka
AU Rashid,4,1,25,0,6.25,-,-,Southampton,5 Jul 2016,61.8,74.4,13.5,"Rain, Partially cloudy",T20I,Sri Lanka
AU Rashid,9,0,51,2,5.66,25.5,27,Southampton,24 Aug 2016,70.3,75.4,10.8,"Rain, Partially cloudy",ODI,Pakistan
AU Rashid,10,0,51,1,5.1,51,60,Lord's,27 Aug 2016,41.1,74.4,12.5,Partially cloudy,ODI,Pakistan
AU Rashid,10,0,73,2,7.3,36.5,30,Nottingham,30 Aug 2016,63.8,69.8,10.5,Partially cloudy,ODI,Pakistan
AU Rashid,10,0,47,3,4.7,15.66,20,Leeds,1 Sep 2016,58,77.4,12.2,Partially cloudy,ODI,Pakistan
AU Rashid,4,0,29,1,7.25,29,24,Manchester,7 Sep 2016,67.8,79.6,9.4,Partially cloudy,T20I,Pakistan
AU Rashid,9,0,49,4,5.44,12.25,13.5,Mirpur,7 Oct 2016,81.7,88.2,8.5,"Rain, Partially cloudy",ODI,Bangladesh
AU Rashid,10,0,53,2,5.3,26.5,30,Mirpur,9 Oct 2016,81.5,89.8,5.8,"Rain, Partially cloudy",ODI,Bangladesh
AU Rashid,10,0,43,4,4.3,10.75,15,Chattogram,12 Oct 2016,77.8,93.1,14.5,"Rain, Partially cloudy",ODI,Bangladesh
AU Rashid,33,3,113,3,3.42,37.66,66,Chattogram,20 Oct 2016,82,80.9,5.6,Partially cloudy,Test,Bangladesh
AU Rashid,21.5,1,96,4,4.39,24,32.7,Mirpur,28 Oct 2016,79.2,85.4,4.3,"Rain, Partially cloudy",Test,Bangladesh
